author,updated_at,like_count,comments,public
@renosance8941,2023-10-25T18:46:43Z,1,"This makes me happy in my soul. 🎉
Edit: Clovis is high as shit! 🤣❤️",True
@DrkWng17,2023-10-25T18:44:57Z,0,and that's how bedbugs invaded queens lol,True
@X9bobo6X,2023-10-25T18:40:16Z,0,LONG LIVE CLOVIS,True
@andrewhartsfieldii543,2023-10-25T18:37:07Z,0,This series makes me so damn giddy I want to scream,True
@mph3010,2023-10-25T18:34:55Z,0,best f*cking thing I watched in a long time,True
@morgangatto6326,2023-10-25T18:16:05Z,0,THIS IS THE WAY !,True
@sandile_mzinyane,2023-10-25T18:15:49Z,0,"Man, Clovis ❤😂",True
@alexvanpee6588,2023-10-25T18:13:54Z,0,We are so back,True
@1989red13bfc,2023-10-25T17:57:22Z,0,Nothing beats good food good drink and good company.,True
@MrSarcaa,2023-10-25T17:38:42Z,0,We need a fuckthatsdelicious in Morocco,True
@danielnoguera6418,2023-10-25T17:10:48Z,0,best series,True
@GR0U,2023-10-25T16:39:13Z,0,Good thing the cigarette was blurred 😵,True
@andreasschwarz4221,2023-10-25T16:29:05Z,0,best duo ever! Where are clovis shirts from? Always fire.,True
@Digitalgirl.mp3,2023-10-25T15:59:08Z,0,Yay!!!!,True
@treyday5200,2023-10-25T15:50:05Z,0,Vice who?,True
@jaredm730,2023-10-25T15:26:29Z,0,"Clovis. Fukng Clovis.
So many questions...
Who? How? Why? Really?
Absolute legend.
*and, this dude spits? With homemade donkey leather moccasins? 
Dude's on Mt. Rushmore. Alone.",True
@jewelsverne9027,2023-10-25T15:09:56Z,0,"Arrivederci Motherfuckers should totally be an album title, or at the very least the name of a European concert tour",True
@betavayne6745,2023-10-25T14:55:52Z,0,WE BACK BABY! BEST SERIES EVER!,True
@zeptosecond4106,2023-10-25T14:53:21Z,0,Yo when are we getting a new season of FXCK that's delicious?!,True
@simonlkdr8618,2023-10-25T14:52:40Z,0,Bruh what kind of dentition dudes have,True
@joshweiss4035,2023-10-25T14:45:34Z,0,The legends are back!!!,True
